iter	Passed	Remaining
930	2879	306390
931	2882	306389
932	2885	306393
933	2902	307901
934	2908	308124
935	2913	308333
936	2919	308688
937	2924	308852
938	2928	308969
939	2932	309014
940	2935	309004
941	2938	308961
942	2940	308899
943	2943	308854
944	2946	308817
945	2948	308767
946	2951	308709
947	2953	308639
948	2956	308581
949	2959	308527
950	2961	308494
951	2964	308464
952	2967	308446
953	2970	308443
954	2973	308438
955	2977	308441
956	2980	308421
957	2983	308425
958	2986	308434
959	2990	308493
960	2993	308497
961	2996	308472
962	2998	308420
963	3001	308396
964	3004	308377
965	3008	308381
966	3010	308363
967	3013	308331
968	3016	308306
969	3019	308291
970	3022	308287
971	3025	308265
972	3028	308249
973	3031	308207
974	3034	308165
975	3036	308127
976	3039	308081
977	3042	308059
978	3045	308050
979	3048	308056
980	3052	308081
981	3055	308114
982	3058	308092
983	3061	308078
984	3064	308035
985	3067	308001
986	3069	307967
987	3072	307925
988	3075	307915
989	3078	307883
990	3081	307868
991	3084	307858
992	3087	307833
993	3090	307814
994	3093	307775
995	3096	307762
996	3099	307785
997	3102	307766
998	3105	307748
999	3108	307768
1000	3111	307769
1001	3115	307782
1002	3118	307755
1003	3121	307778
1004	3124	307752
1005	3131	308179
1006	3134	308162
1007	3137	308136
1008	3140	308094
1009	3143	308078
1010	3145	308030
1011	3148	307981
1012	3151	307970
1013	3154	307931
1014	3157	307920
1015	3160	307890
1016	3163	307912
1017	3166	307882
1018	3169	307864
1019	3172	307862
1020	3175	307854
1021	3178	307812
1022	3181	307784
1023	3184	307781
1024	3187	307746
1025	3190	307806
1026	3194	307863
1027	3197	307846
1028	3200	307803
1029	3203	307795
1030	3206	307815
1031	3209	307801
1032	3212	307759
1033	3215	307775
1034	3218	307755
1035	3221	307738
1036	3224	307733
1037	3227	307706
1038	3230	307672
1039	3233	307648
1040	3235	307612
1041	3238	307589
1042	3242	307612
1043	3245	307588
1044	3247	307564
1045	3251	307557
1046	3254	307562
1047	3257	307551
1048	3260	307514
1049	3262	307494
1050	3266	307495
1051	3268	307453
1052	3271	307410
1053	3274	307393
1054	3277	307398
1055	3280	307373
1056	3283	307341
1057	3286	307347
1058	3289	307318
1059	3292	307280
1060	3295	307267
1061	3298	307289
1062	3301	307270
1063	3304	307237
1064	3307	307231
1065	3310	307268
1066	3313	307251
1067	3316	307225
1068	3319	307207
1069	3322	307211
1070	3326	307256
1071	3329	307267
1072	3332	307246
1073	3335	307225
1074	3338	307249
1075	3341	307247
1076	3344	307233
1077	3348	307228
1078	3350	307198
1079	3353	307157
1080	3356	307156
1081	3359	307119
1082	3362	307093
1083	3365	307068
1084	3368	307098
1085	3371	307096
1086	3374	307058
1087	3377	307050
1088	3380	307032
1089	3383	307035
1090	3386	307022
1091	3390	307050
1092	3392	307031
1093	3396	307050
1094	3399	307037
1095	3402	307022
1096	3405	306991
1097	3407	306970
1098	3410	306945
1099	3413	306925
1100	3416	306896
1101	3419	306859
1102	3422	306849
1103	3425	306829
1104	3428	306850
1105	3431	306844
1106	3434	306838
1107	3437	306819
1108	3440	306793
